station_name,station_descriptive_name,station_id,red,blue,g,brn,p,pexp,y,pnk,o
Polk,Polk (Pink Line),125,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Pulaski,Pulaski (Blue Line),126,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Pulaski,Pulaski (Orange Line),127,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Pulaski,Pulaski (Pink Line),128,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Pulaski,Pulaski (Green Line),129,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Quincy/Wells,"Quincy/Wells (Brown, Orange, Purple & Pink lines)",130,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Quincy/Wells,"Quincy/Wells (Brown, Orange, Purple & Pink lines)",131,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
Racine,Racine (Blue Line),132,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Ridgeland,Ridgeland (Green Line),133,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Rockwell,Rockwell (Brown Line),134,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Roosevelt,"Roosevelt (Red, Orange & Green lines)",135,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Roosevelt,"Roosevelt (Red, Orange & Green lines)",136,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Rosemont,Rosemont (Blue Line),137,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Sedgwick,Sedgwick (Brown & Purple lines),138,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
Sheridan,Sheridan (Red Line),139,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Sheridan,Sheridan (Red Line),140,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
South Boulevard,South Boulevard (Purple Line),141,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
Southport,Southport (Brown Line),142,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Sox-35th,Sox-35th (Red Line),143,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
State/Lake,"State/Lake (Brown, Green, Orange, Pink & Purple lines)",144,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
State/Lake,"State/Lake (Brown, Green, Orange, Pink & Purple lines)",145,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
Thorndale,Thorndale (Red Line),146,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
UIC-Halsted,UIC-Halsted (Blue Line),147,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Washington,Washington (Blue Line),148,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Washington/Wabash,"Washington/Wabash (Brown, Green, Orange, Purple & Pink lines)",149,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
Washington/Wabash,"Washington/Wabash (Brown, Green, Orange, Purple & Pink lines)",150,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Washington/Wells,"Washington/Wells (Brown, Orange, Purple & Pink lines)",151,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
Washington/Wells,"Washington/Wells (Brown, Orange, Purple & Pink lines)",152,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Wellington,Wellington (Brown & Purple lines),153,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
Western,Western (Blue Line - O'Hare Branch),154,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Western,Western (Orange Line),155,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Western,Western (Blue Line - Forest Park Branch),156,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Western,Western (Brown Line),157,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Western,Western (Pink Line),158,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Wilson,Wilson (Red & Purple lines),159,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Wilson,Wilson (Red & Purple lines),160,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
